Pilot Full Name,License Number,Nationality,Date of Birth,License Type,Issuing Authority,License Issue Date,License Expiry Date,Flight Date,Aircraft Registration,Aircraft Make/Model,Simulator Device,Route From (ICAO),Route To (ICAO),Total Flight Time (HH:MM),Aircraft LSA,Aircraft Single Engine,Aircraft Multi Engine,Aircraft Turboprop,Aircraft Turbojet,Aircraft Helicopter,Aircraft Glider,Aircraft Ultralight Motorized,Aircraft Ultralight Non-Motorized,Day Time (HH:MM),Night Time (HH:MM),IFR Time (HH:MM),Approach Type,Approach Count,Simulator Type,Simulator Time (HH:MM),Cross Country Time (HH:MM),Solo Time (HH:MM),PIC Time (HH:MM),SIC Time (HH:MM),Dual Received (HH:MM),Instructor Time (HH:MM),Remarks,Certification Type,Issued By,Certification Issue Date,Certification Valid Until,Certification Description,Certification Status
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,5/31/2024,CC-UCW,Ozone Delta 4 (Paraglider),None,SCDA,SCEL,2:32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2:17,0:15,0:00,None,0,None,0:00,1:20,0:00,0:32,0:00,2:00,2:00,Ozone Delta 4 (Paraglider) SCDA-SCEL training flight.,IFR Currency Check,IE,2024-06-27,2025-01-09,IFR Currency Check recorded for training block.,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,4/16/2024,CC-NTM,Cessna 182T,None,SPJC,SCCF,2:24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:24,0:00,0:00,None,0,None,0:00,1:31,0:00,2:24,0:00,0:00,0:00,Cessna 182T SPJC-SCCF training flight.,Type Rating Check,MedicalAuthority,2023-04-14,2025-01-15,Type Rating Check recorded for training block.,suspended
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,10/18/2024,CC-SXR,Bristell B23,None,SCFA,SCTE,3:06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3:06,0:00,0:46,ILS,1,None,0:00,0:19,0:00,0:02,0:00,3:04,3:04,Bristell B23 SCFA-SCTE training flight.,None,N/A,2025-05-10,2026-05-10 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,6/3/2025,CC-MXB,Beechcraft Baron 58,None,SCSE,SCIE,2:44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:44,0:00,0:00,None,0,None,0:00,1:55,0:00,2:44,0:00,0:00,0:00,Beechcraft Baron 58 SCSE-SCIE training flight.,Type Rating Check,IE,2023-01-15,2023-11-20,Type Rating Check recorded for training block.,expired
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,7/4/2025,CC-JPH,Embraer Phenom 300,None,SCTE,SCBA,1:36,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1:27,0:09,0:24,NDB,1,None,0:00,0:18,0:00,0:10,1:26,0:00,0:00,Embraer Phenom 300 SCTE-SCBA training flight.,None,N/A,2023-04-25,2024-04-24 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,7/19/2024,CC-LXK,Cessna Citation M2,None,SAEZ,SCJO,3:14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3:14,0:00,0:00,None,0,None,0:00,2:11,0:00,0:15,0:00,2:59,2:59,Cessna Citation M2 SAEZ-SCJO training flight.,Biennial Flight Review,DGAC,2023-03-16,2024-07-28,Biennial Flight Review recorded for training block.,expired
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,9/18/2024,CC-YRM,Embraer Phenom 300,None,SCSE,SCDA,2:56,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2:56,0:00,0:00,None,0,None,0:00,0:12,0:00,2:56,0:00,0:00,0:00,Embraer Phenom 300 SCSE-SCDA training flight.,Solo Endorsement,DGAC,2023-03-19,2025-10-16,Solo Endorsement recorded for training block.,suspended
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,6/23/2024,CC-POI,Schleicher ASK 21,None,SCSE,SCJO,2:28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2:28,0:00,0:37,RNAV,4,None,0:00,1:23,0:00,2:28,0:00,0:00,0:00,Schleicher ASK 21 SCSE-SCJO training flight.,None,N/A,2022-12-17,2023-12-17 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,8/26/2024,CC-CNE,Cessna 208B Grand Caravan,None,SCJO,SCAR,1:55,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1:44,0:11,0:00,None,0,None,0:00,0:10,0:00,1:55,0:00,0:00,0:00,Cessna 208B Grand Caravan SCJO-SCAR training flight.,None,N/A,2023-04-12,2024-04-11 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,5/18/2025,CC-CHF,DG-1000,None,SCIE,SCCI,3:58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3:58,0:00,0:00,None,0,None,0:00,1:31,0:00,0:02,0:00,3:56,3:56,DG-1000 SCIE-SCCI training flight.,None,N/A,2022-10-26,2023-10-26 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,6/12/2025,CC-AHT,Tecnam P92,None,SCCF,SCIE,2:18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2:18,0:00,0:34,ILS,2,None,0:00,1:48,0:00,2:18,0:00,0:00,0:00,Tecnam P92 SCCF-SCIE training flight.,Night Endorsement,MedicalAuthority,2024-12-01,2025-08-09,Night Endorsement recorded for training block.,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,4/6/2025,CC-TFK,Ozone Delta 4 (Paraglider),None,SCCF,SCDA,3:14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3:14,0:00,0:48,RNAV,3,None,0:00,1:14,3:14,3:14,0:00,0:00,0:00,Ozone Delta 4 (Paraglider) SCCF-SCDA training flight.,None,N/A,2024-06-28,2025-06-28 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,5/16/2025,CC-ETB,Pilatus PC-12,None,SCSE,SCCF,3:17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3:17,0:00,0:49,NDB,4,None,0:00,2:38,0:00,3:17,0:00,0:00,0:00,Pilatus PC-12 SCSE-SCCF training flight.,None,N/A,2025-05-24,2026-05-24 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,7/14/2024,CC-FNI,Piper PA-34 Seneca,None,SCSE,SCCF,1:15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:15,0:00,0:00,None,0,None,0:00,0:49,0:00,1:15,0:00,0:00,0:00,Piper PA-34 Seneca SCSE-SCCF training flight.,Medical Certificate,MedicalAuthority,2025-05-26,2027-05-15,Medical Certificate recorded for training block.,suspended
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,8/3/2024,CC-ZBF,Cessna 182T,None,SCAR,SAEZ,1:09,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:09,0:00,0:34,VOR,3,None,0:00,1:00,0:00,1:09,0:00,0:00,0:00,Cessna 182T SCAR-SAEZ training flight.,None,N/A,2024-04-17,2025-04-17 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,10/16/2023,CC-TEJ,Cessna 182T,Frasca FTD,SCVD,SCAR,2:59,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:42,0:17,0:00,None,0,BasicInstrumentTrainer,0:29,2:24,0:00,0:05,0:00,2:54,2:54,Cessna 182T SCVD-SCAR training flight.,Medical Certificate,IOA,2023-01-28,2024-09-05,Medical Certificate recorded for training block.,suspended
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,11/5/2024,CC-PZA,Cessna 172S,,SCTB,SCTB,1:30,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1:30,0:00,0:00,,0,,,0:00,0:00,0:00,0:00,1:30,0:00,Pre-flight maneuvers practice,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2,Active
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,11/8/2024,CC-PZA,Cessna 172S,,SCTB,SCTB,1:15,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1:15,0:00,0:00,,0,,,0:00,0:00,0:00,1:15,0:00,0:00,0:00,"Circuits and landings, touch and go",Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,11/12/2024,CC-PZA,Cessna 172S,,SCTB,SCSC,2:10,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2:10,0:00,0:00,,0,,,0:00,2:10,2:10,2:10,0:00,0:00,0:00,First solo cross-country flight,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,11/13/2024,CC-PZA,Cessna 172S,,SCSC,SCTB,2:05,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2:05,0:00,0:00,,0,,,0:00,2:05,2:05,2:05,0:00,0:00,0:00,Return leg of first solo XC,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,11/18/2024,CC-PZA,Cessna 172S,,SCTB,SCTB,1:45,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1:00,0:45,0:45,VOR,1,,,0:00,0:00,0:00,0:00,1:45,0:00,Instrument training under the hood,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2,Active
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,11/22/2024,CC-PZA,Cessna 172S,,SCTB,SCEL,1:25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1:25,0:00,0:00,,0,,,0:00,1:25,0:00,0:00,1:25,0:00,XC flight with instructor to major airport,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2,Active
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,11/28/2024,CC-PZA,Cessna 172S,,SCTB,SCTB,2:00,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0:20,1:40,0:00,,0,,,0:00,0:00,0:00,2:00,0:00,0:00,Night flying with passenger,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2,Active
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,12/4/2024,CC-PZA,Cessna 172S,,SCTB,SCTB,1:50,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1:50,0:00,0:00,,0,,,0:00,0:00,0:00,0:00,1:50,0:00,PPL Checkride Preparation,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2,Active
Sofia Rojas,CL987654PPL,Chilean,5/12/1999,PPL,DGAC Chile,4/15/2025,4/15/2030,12/10/2024,CC-PZA,Cessna 172S,,SCTB,SCTB,2:30,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2:30,0:00,0:00,,0,,,0:00,0:00,0:00,2:30,0:00,0:00,PPL Practical Exam - PASSED,Medical Class 2,DGAC Chile,2024-09-20,2026-09-20,Aeronautical Medical Certificate Class 2,Active
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/15/2025,CC-PZB,Cessna 172N,,SCEL,SCEL,1:45,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1:45,0:00,0:00,,0,,,0:00,0:00,0:00,0:00,0:00,1:45,Instructional flight,CPL student,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/17/2025,CC-PZB,Cessna 172N,,SCEL,SCSE,2:20,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,2:20,0:00,0:00,,0,,,0:00,2:20,0:00,0:00,0:00,2:20,Instructional XC flight,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1,Active
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/17/2025,CC-PZB,Cessna 172N,,SCSE,SCEL,2:15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2:15,0:00,0:00,,0,,,0:00,2:15,0:00,0:00,0:00,2:15,Instructional XC flight,return,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/20/2025,CC-DTF,Piper PA-44 Seminole,,SCEL,SCEL,1:30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1:30,0:00,0:45,ILS,1,,,0:00,0:00,0:00,1:30,0:00,0:00,MEP Currency Flight,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1,Active
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/22/2025,CC-PZB,Cessna 172N,,SCEL,SCEL,2:00,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0:15,1:45,0:00,,0,,,0:00,0:00,0:00,0:00,0:00,2:00,Night instruction,PPL student,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/25/2025,CC-POL,FNPT II Mechtronix,,SCEL,SCEL,1:00,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0:00,0:00,0:00,2:00,RNAV,3,FNPT II,2:00,0:00,0:00,0:00,0:00,2:00,Instrument instruction,sim session,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/28/2025,CC-DTF,Piper PA-44 Seminole,,SCEL,SCDA,1:55,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1:55,0:00,0:00,,0,,,0:00,1:55,0:00,1:55,0:00,0:00,Commercial flight,aerial photography,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,1/28/2025,CC-DTF,Piper PA-44 Seminole,,SCDA,SCEL,1:50,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1:50,0:00,0:00,,0,,,0:00,1:50,0:00,1:50,0:00,0:00,Return leg from photo flight,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1,Active
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,2/3/2025,CC-PZB,Cessna 172N,,SCEL,SCEL,1:30,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1:30,0:00,0:00,,0,,,0:00,0:00,0:00,0:00,0:00,1:30,Instruction,emergency procedures,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1
Matias Torres,CL564321CPL,Chilean,11/20/1992,CPL,DGAC Chile,8/1/2020,8/1/2026,2/5/2025,CC-DTF,Piper PA-44 Seminole,,SCEL,SCEL,2:00,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2:00,0:00,1:30,ILS,2,,,0:00,0:00,0:00,0:00,0:00,2:00,Multi-engine IFR instruction,Medical Class 1,DGAC Chile,2025-01-10,2026-01-10,Aeronautical Medical Certificate Class 1,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/10/2025,CC-BAS,Airbus A320neo,,SCEL,SPJC,3:45,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0:30,3:15,3:45,RNAV,1,,,0:00,3:45,0:00,0:00,3:45,0:00,Scheduled flight LA642,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/10/2025,CC-BAS,Airbus A320neo,,SPJC,SCEL,3:30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0:00,3:30,3:30,ILS,1,,,0:00,3:30,0:00,0:00,3:30,0:00,Scheduled flight LA643,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/12/2025,CC-BAW,Airbus A321,,SCEL,SCDA,0:55,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,0:55,0:00,0:55,RNAV,1,,,0:00,0:55,0:00,0:00,0:55,0:00,Scheduled flight LA112,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/12/2025,CC-BAW,Airbus A321,,SCDA,SCEL,0:50,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0:50,0:00,0:50,ILS,1,,,0:00,0:50,0:00,0:00,0:50,0:00,Scheduled flight LA113,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/14/2025,CC-BAT,Airbus A320neo,,SCEL,SAEZ,2:05,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2:05,0:00,2:05,ILS,1,,,0:00,2:05,0:00,0:00,2:05,0:00,Scheduled flight LA465,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/15/2025,CC-BAT,Airbus A320neo,,SAEZ,SCEL,2:10,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2:10,0:00,2:10,RNAV,1,,,0:00,2:10,0:00,0:00,2:10,0:00,Scheduled flight LA464,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/18/2025,CC-BAR,Airbus A320,,SCEL,SBGR,3:25,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3:25,0:00,3:25,ILS,1,,,0:00,3:25,0:00,0:00,3:25,0:00,Scheduled flight LA750,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/18/2025,CC-BAR,Airbus A320,,SBGR,SCEL,3:40,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0:00,3:40,3:40,ILS,1,,,0:00,3:40,0:00,0:00,3:40,0:00,Scheduled flight LA751,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/21/2025,,,A320 FFS CAE,,SCEL,SCEL,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0:00,0:00,0:00,4:00,"ILS, VOR",4,FFS,4:00,0:00,0:00,0:00,4:00,0:00,Recurrent simulator training,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/24/2025,CC-BAV,Airbus A320neo,,SCEL,KMIA,8:10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1:30,6:40,8:10,RNAV,1,,,0:00,8:10,0:00,0:00,8:10,0:00,Scheduled flight LA500,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Isabella Costa,BR852369ATPL,Brazilian,3/25/1995,ATPL,ANAC Brazil,7/11/2023,7/11/2028,2/25/2025,CC-BAV,Airbus A320neo,,KMIA,SCEL,7:55,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2:10,5:45,7:55,ILS,1,,,0:00,7:55,0:00,0:00,7:55,0:00,Scheduled flight LA501,Type Rating A320,DGAC Chile,2023-09-01,2026-09-01,Airbus A320 Family Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/2/2025,CC-BGA,Boeing 787-9,,SCEL,KJFK,10:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1:20,9:10,10:30,ILS,1,,,0:00,10:30,0:00,10:30,0:00,0:00,Scheduled flight LA532,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/4/2025,CC-BGA,Boeing 787-9,,KJFK,SCEL,10:50,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2:00,8:50,10:50,RNAV,1,,,0:00,10:50,0:00,10:50,0:00,0:00,Scheduled flight LA533,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/7/2025,CC-BGB,Boeing 787-9,,SCEL,LEMD,12:45,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2:15,10:30,12:45,ILS,1,,,0:00,12:45,0:00,12:45,0:00,0:00,Scheduled flight LA704,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/9/2025,CC-BGB,Boeing 787-9,,LEMD,SCEL,13:10,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3:00,10:10,13:10,RNAV,1,,,0:00,13:10,0:00,13:10,0:00,0:00,Scheduled flight LA705,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/12/2025,CC-BGE,Boeing 787-8,,SCEL,LFPG,14:05,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2:30,11:35,14:05,ILS,1,,,0:00,14:05,0:00,14:05,0:00,0:00,Scheduled flight AF401,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/14/2025,CC-BGE,Boeing 787-8,,LFPG,SCEL,14:25,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3:10,11:15,14:25,RNAV,1,,,0:00,14:25,0:00,14:25,0:00,0:00,Scheduled flight AF406,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/18/2025,,,B787 FFS LATAM,,SCEL,SCEL,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0:00,0:00,0:00,4:00,Engine Failure,3,FFS,4:00,0:00,0:00,4:00,0:00,0:00,Proficiency Check,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/21/2025,CC-BGC,Boeing 787-9,,SCEL,YSSY,14:10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,5:00,9:10,14:10,ILS,1,,,0:00,14:10,0:00,14:10,0:00,0:00,Scheduled flight QF28,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
Liam O'Connell,US445588ATPL,American,8/15/1985,ATPL,FAA,2/20/2010,2/20/2026,3/23/2025,CC-BGC,Boeing 787-9,,YSSY,SCEL,13:00,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,8:00,5:00,13:00,RNAV,1,,,0:00,13:00,0:00,13:00,0:00,0:00,Scheduled flight QF27,Type Rating B787,FAA,2022-05-18,2026-05-18,Boeing 787 Type Rating,Active
